[Header]\r\n2015-12-06 22:51:12,681 [13] INFO  MessageProcessorApplication.MessagePersisterApp Message persistedMessage d2c203aa-34cb-45f1-9656-79db55a14fad from bus SOLACE.MESSAGEBUS.ONE
2015-12-06 22:51:13,555 [13] INFO  MessageProcessorApplication.MessagePersisterApp Message persistedMessage de58ab4a-9278-4c19-abf8-98c68db369af from bus SOLACE.MESSAGEBUS.ONE
2015-12-06 22:51:14,060 [12] INFO  MessageProcessorApplication.MessagePersisterApp Message persistedMessage 76957417-92f7-431d-9df8-f4d95dec17f4 from bus SOLACE.MESSAGEBUS.ONE
2015-12-06 22:51:14,962 [12] INFO  MessageProcessorApplication.MessagePersisterApp Message persistedMessage 62668639-b492-4a57-b999-d4cc43346ae8 from bus SOLACE.MESSAGEBUS.ONE
2015-12-06 22:51:15,167 [13] INFO  MessageProcessorApplication.MessagePersisterApp Message persistedMessage 8da89a76-3b0d-44aa-b7cb-9cabb1ff5d4a from bus SOLACE.MESSAGEBUS.ONE
2015-12-06 22:51:15,671 [12] INFO  MessageProcessorApplication.MessagePersisterApp Message persistedMessage 30d9920c-0dee-4843-89d5-485556ae0780 from bus SOLACE.MESSAGEBUS.ONE
2015-12-06 22:51:16,176 [13] INFO  MessageProcessorApplication.MessagePersisterApp Message persistedMessage 99814b53-89bb-4d0a-bc6b-38e12d7a9719 from bus SOLACE.MESSAGEBUS.ONE
2015-12-06 22:51:16,588 [13] INFO  MessageProcessorApplication.MessagePersisterApp Message persistedMessage 9562f605-2906-4675-9542-cd858a3e3abc from bus SOLACE.MESSAGEBUS.ONE
2015-12-06 22:51:17,399 [13] INFO  MessageProcessorApplication.MessagePersisterApp Message persistedMessage 997633a0-782e-4c2e-8ccd-6e0663047458 from bus SOLACE.MESSAGEBUS.ONE
2015-12-06 22:51:17,604 [12] INFO  MessageProcessorApplication.MessagePersisterApp Message persistedMessage c38570eb-1831-41b0-aa12-c683b1820f19 from bus SOLACE.MESSAGEBUS.ONE
2015-12-06 22:51:34,118 [13] INFO  MessageProcessorApplication.MessagePersisterApp Message persistedMessage 4341a286-a633-41ce-8994-0513279e57f3 from bus SOLACE.MESSAGEBUS.ONE.HIGH
2015-12-06 22:51:34,173 [12] INFO  MessageProcessorApplication.MessagePersisterApp Message persistedMessage 0ca815d0-024d-4896-9c62-21401cb63720 from bus SOLACE.MESSAGEBUS.ONE.HIGH
2015-12-06 22:51:34,262 [15] INFO  MessageProcessorApplication.MessagePersisterApp Message persistedMessage a227eba0-bfbb-4a33-86cb-3fa14d61ef64 from bus SOLACE.MESSAGEBUS.ONE.HIGH
2015-12-06 22:51:34,274 [12] INFO  MessageProcessorApplication.MessagePersisterApp Message persistedMessage 884dadf1-98c2-42e3-a9ff-c5de54068a0d from bus SOLACE.MESSAGEBUS.ONE.MEDIUM
2015-12-06 22:51:34,323 [13] INFO  MessageProcessorApplication.MessagePersisterApp Message persistedMessage 38f1a9a7-4461-4a10-bc11-13d1f65feaf9 from bus SOLACE.MESSAGEBUS.ONE.HIGH
2015-12-06 22:51:34,400 [15] INFO  MessageProcessorApplication.MessagePersisterApp Message persistedMessage 6743f002-6d8d-4ba2-9f9e-a7d60c8f511e from bus SOLACE.MESSAGEBUS.ONE.HIGH
2015-12-06 22:51:34,441 [12] INFO  MessageProcessorApplication.MessagePersisterApp Message persistedMessage 0597c4ec-8d83-4d67-9f70-a4f15f336abe from bus SOLACE.MESSAGEBUS.ONE.HIGH
2015-12-06 22:51:34,442 [13] INFO  MessageProcessorApplication.MessagePersisterApp Message persistedMessage 10a4ee86-6cd8-47e2-b24c-5d6b15500d8a from bus SOLACE.MESSAGEBUS.ONE.MEDIUM
2015-12-06 22:51:34,496 [12] INFO  MessageProcessorApplication.MessagePersisterApp Message persistedMessage 38ab9c27-d9f7-4d43-969b-bcee1e6501e4 from bus SOLACE.MESSAGEBUS.ONE.HIGH
2015-12-06 22:51:34,574 [15] INFO  MessageProcessorApplication.MessagePersisterApp Message persistedMessage ad00f6e9-0fda-474d-b220-4bad34fa9ba1 from bus SOLACE.MESSAGEBUS.ONE.HIGH
2015-12-06 22:51:34,690 [13] INFO  MessageProcessorApplication.MessagePersisterApp Message persistedMessage be571126-594e-4094-af69-fb170dee8e64 from bus SOLACE.MESSAGEBUS.ONE.HIGH
2015-12-06 22:51:34,691 [12] INFO  MessageProcessorApplication.MessagePersisterApp Message persistedMessage 0c4bf50e-1b59-4dda-a878-94d7de607312 from bus SOLACE.MESSAGEBUS.ONE.MEDIUM
2015-12-06 22:51:34,772 [15] INFO  MessageProcessorApplication.MessagePersisterApp Message persistedMessage 8c1742f3-6f13-46c1-9202-6eb6d1e5fd99 from bus SOLACE.MESSAGEBUS.ONE.HIGH
2015-12-06 22:51:34,855 [12] INFO  MessageProcessorApplication.MessagePersisterApp Message persistedMessage 3b957c06-1dc7-4ad8-8623-3315888e5f62 from bus SOLACE.MESSAGEBUS.ONE.HIGH
2015-12-06 22:51:34,887 [16] INFO  MessageProcessorApplication.MessagePersisterApp Message persistedMessage 07093e59-7040-4e05-8901-af366786484c from bus SOLACE.MESSAGEBUS.ONE.MEDIUM
2015-12-06 22:51:34,959 [15] INFO  MessageProcessorApplication.MessagePersisterApp Message persistedMessage 4b41b67b-ea6d-465c-a4e4-3ebdbf8d8ec7 from bus SOLACE.MESSAGEBUS.ONE.HIGH
2015-12-06 22:51:35,023 [13] INFO  MessageProcessorApplication.MessagePersisterApp Message persistedMessage 285ee764-6fe4-461f-9040-0acb06912d27 from bus SOLACE.MESSAGEBUS.ONE.HIGH
[Header]\r\n2015-12-06 22:53:10,536 [13] INFO  MessageProcessorApplication.MessagePersisterApp Message persistedMessage 37a04b6a-5625-4c78-a3d6-760408bd3755 from bus SOLACE.MESSAGEBUS.ONE
